what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943617256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943617985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943618534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943618996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943619629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943621757
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943627497
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943627542
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1415943627548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943627749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943632873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943633697
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943642274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943664123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943668199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943668722
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943669711
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943679581
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943682792
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943684394
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943692044
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943695495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1415943697101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943697118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943700560
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943705106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415943721834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415943722536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415943723421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415943724222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943733291
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943734905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943739597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943745650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943747051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943748279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943748738
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943754109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943754131
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943786071
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943791091
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415943792065
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943793269
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943798339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943813594
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943905488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943915232
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943916238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943920224
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943921916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943929382
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943933599
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943934852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415943954920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943963525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415943964349
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943974221
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415943988042
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415944011335
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415944012356
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415944032419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415944065007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944072532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944077259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944077437
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415944078673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944078694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944120978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944170404
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415944172177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944178405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415944179127
