what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217310134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217312496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217316984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217318437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217327285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217328304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217435892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416217437259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416218127393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416218127850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225644800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225646296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225653304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225654358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225666309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416225667111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416227598118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416227598921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416227629400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416227630070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416282741436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416282743621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416282832015
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1416282835552
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1416282836773
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1416282837945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416282838958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416285826482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416285828222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416289858078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416289859704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416289867616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416289868881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290012155
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1416290013241
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1416290014352
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1416290015848
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1416290016555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290017072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290174792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290176235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290383320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290385479
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416290389997
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1416290395198
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1416290397490
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1416290397490
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1416290397491
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1416290397511
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1416290397589
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1416290397590
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1416290397590
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1416290397590
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1416290397590
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1416290398711
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1416290398711
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1416290398974
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1416290399001
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1416290399001
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1416290399001
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1416290399013
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1416290399727
stopped,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1416290399741
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1416290399901
stopped,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1416290400338
stopped,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1416290401171
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1416290401197
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1416290401363
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1416290401396
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1416290401396
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1416290401405
